	RB_E_001	RB_E_002	RB_E_003	RB_E_004	RB_E_005	RB_E_006	RB_E_007	RB_E_008	RB_E_009	RB_E_011	RB_E_012	RB_E_013	RB_E_014	RB_E_015	RB_E_016	RB_E_017	RB_E_019	RB_E_020	RB_E_021	RB_E_022	RB_E_023	RB_E_025	RB_E_026	RB_E_027	RB_E_028	RB_E_029	RB_E_030	RB_E_030_IC	RB_E_032	RB_E_033	RB_E_034	RB_E_035	RB_E_036	RB_E_037	RB_E_040	RB_E_042	RB_E_044	RB_E_045	RB_E_046_IC	RB_E_048_IC	RB_E_049_IC	RB_E_050	RB_E_051	RB_E_052	RB_E_053	RB_E_054	RB_E_055	RB_E_056	RB_E_057	RB_E_058	RB_E_059	RB_E_060	RB_E_061	RB_E_063	RB_E_064	RB_E_065	RB_E_066	RB_E_067	RB_E_069_FR	RB_E_076	RB_E_077	RB_E_078	RB_E_079	RB_E_080	RB_E_081
cg00000029	0.20617633895270773	0.17104705383637134	0.15808477237048665	0.10427350427350428	0.2222222222222222	0.15546582059417363	0.11166528124134109	0.12227949599083619	0.24386327139252123	0.07750167897918066	0.19496536577124515	0.2565836298932384	0.6592825260373616	0.45	0.48128440366972475	0.4849438202247191	0.5404765428444576	0.28945216680294356	0.7315943023854471	0.40391459074733094	0.20361791308184427	0.2959369314736204	0.4843502377179081	0.6109014675052411	0.35048678720445064	0.1399119295436349	0.17880682778435017	0.09734100450940755	0.5202266953292946	0.4878416904242831	0.2649945474372955	0.08318098720292505	0.0871951219512195	0.3414570910033705	0.4300348735832607	0.05015056752374334	0.44602551521099115	0.07322422810865531	0.2669297881179892	0.27723342939481266	0.2894858730893932	0.38934071638691814	0.08852679321350579	0.24337144247141815	0.28361075544174136	0.37849800114220444	0.2830574987203549	0.2889551250206988	0.22870628620467712	0.3490319923108609	0.4461567025621983	0.06809533346685359	0.5332669653227144	0.5776061776061776	0.48654531064503365	0.10710750346466047	0.5965774980330448	0.5885826771653543	0.718301667312912	0.10401459854014598	0.30839960238568587	0.4426527958387516	0.5972826086956522	0.1366076221148685	0.3833009708737864
cg00000109	0.6496124031007752	0.8041891463027611	0.8181818181818182	0.7924620655898189	0.7688266199649737	0.694428489373923	0.6797223599405057	0.7979094076655052	0.7518703241895262	0.8656657447649151	0.8534208432776452	0.7789032483409012	0.8786641037962518	0.839119170984456	0.8404452690166976	0.8605215281989085	0.8510500108248539	0.8523116438356164	0.8754166666666666	0.8157234457764149	0.8233870967741935	0.805442522889115	0.8354321694333142	0.7674239507123605	0.8172413793103448	0.8373239436619718	0.8279363336992316	0.8064516129032258	0.8014084507042254	0.8094022548393959	0.8124831126722507	0.7258512856150104	0.8547194432361896	0.7615658362989324	0.7993570854540584	0.824985824985825	0.8624887285843101	0.8603988603988604	0.8237082066869301	0.8576512455516014	0.8026848105921295	0.7863551011892344	0.798883547836874	0.752799004798294	0.8736204284786843	0.842741935483871	0.7895156998403406	0.8201235657546337	0.8083333333333333	0.831960827954596	0.8782904924125116	0.6412429378531074	0.7653100038037276	0.7020295202952029	0.8184660275114631	0.8100172711571675	0.6764454571347195	0.7885250826073896	0.7907380607814761	0.7825020441537204	0.7022116903633492	0.6314863676341249	0.6361161524500908	0.7352079671939075	0.7487508922198429
cg00000165	0.616398243045388	0.8434575969107382	0.6584316225693337	0.7709643605870021	0.8743549472739511	0.8445342407486176	0.6970514950166113	0.6469949312092687	0.524016641452345	0.8400802944128472	0.7884997706071265	0.7761838921534739	0.7088937964264204	0.868317037653422	0.7907022361710475	0.3251342945999435	0.5461220743460303	0.744275447100117	0.36243673174258856	0.8531883341571923	0.4841504233116755	0.3687263896384242	0.6230817413091136	0.6686191243227413	0.8204838025180365	0.8099044309296264	0.7219392951721328	0.8096417127876493	0.676600767187961	0.2967083206339531	0.8108669833729216	0.8526645768025078	0.8060304213218468	0.34704620783778517	0.7275528169014085	0.8385860306643952	0.7667616334283001	0.796014859844647	0.5651545474760952	0.7721671175232943	0.7013769363166954	0.43574262549594617	0.8257940327237728	0.7180715197956578	0.8589251439539347	0.7266510707216124	0.14680971202710333	0.14974083317335382	0.3712091630873357	0.3775533890436397	0.23955555555555555	0.817121391854488	0.162041181736795	0.6380011621150494	0.31122066230843426	0.4953391192542591	0.1240081614146452	0.12483994878361075	0.04476701634545011	0.8729559748427673	0.7217414109624968	0.5279814743342339	0.6703191996188661	0.8286020353508302	0.7736318407960199
cg00000236	0.7816652649285114	0.83843617522374	0.8280701754385965	0.8437655240933929	0.8543247344461306	0.7517241379310344	0.7402478201009638	0.7834162520729685	0.8561347598452083	0.8575934395205803	0.8522046397296051	0.7719002063402739	0.852134999067686	0.8597922848664689	0.8574891774891775	0.8308351177730193	0.8368673579941186	0.8362681495211616	0.8430204475929802	0.7773551130006713	0.8111648528819024	0.8423941004973418	0.7604562737642585	0.8174656386188401	0.8061100503384829	0.8271822647688626	0.8504548480142001	0.7890414317234616	0.8473149030823006	0.845219123505976	0.8079186730872124	0.8051005212211467	0.7808791576132375	0.8005450691430301	0.8208032955715757	0.7888418079096046	0.8172359979191954	0.8512243955028492	0.7999309312766202	0.84438152884897	0.7852743561030235	0.7412574741801051	0.8158358711331944	0.8098277909738717	0.8310082994879039	0.8435266084193804	0.7950200803212851	0.7971001910053829	0.7580889023283943	0.8460566228513651	0.8026465028355387	0.7337731811697575	0.7881514810648669	0.7725409836065574	0.8348497380755445	0.7694470477975632	0.7634158498089384	0.7860319551968374	0.7424819991529014	0.8584415584415584	0.8551248357424441	0.8505986465382613	0.7396477867682056	0.7669995244888255	0.78839590443686
cg00000289	0.7362507392075694	0.8007933010136624	0.6586741889985895	0.7050222504767959	0.4953940634595701	0.5211618257261411	0.7241379310344828	0.8517316017316018	0.6981424148606811	0.6597047173208498	0.611911623439001	0.7437641723356009	0.6149776149776149	0.6157894736842106	0.5398963730569948	0.5849170437405732	0.6463671992764546	0.6567656765676567	0.5464730290456431	0.6163012392755005	0.5888641425389755	0.7797218483624944	0.6737171954563259	0.725	0.8642506142506142	0.7701412752959145	0.5247031788586748	0.6058910162002945	0.7397379912663755	0.6312930097790656	0.7982142857142858	0.7614138438880707	0.7629288274449565	0.7877723120168658	0.5586466165413534	0.8202492211838006	0.5830065359477125	0.7752845528455284	0.5920687742651137	0.549512987012987	0.6216737369841882	0.5024822695035461	0.5351170568561873	0.5669506999391357	0.5760314341846758	0.5987978963185575	0.7120470127326151	0.5357771260997067	0.7584683357879234	0.795484727755644	0.8505598621877691	0.6261682242990654	0.7628504672897196	0.629718875502008	0.8554595443833464	0.8512931034482759	0.792772444946358	0.7039532794249775	0.7590123456790123	0.7424547283702213	0.6915995397008056	0.6078680203045685	0.598705501618123	0.5914567360350493	0.6634429400386848
cg00000292	0.2514244070491586	0.21765133068477935	0.1648681576886259	0.2555672849746142	0.6069586865034675	0.38508748317631225	0.15243716291848988	0.1193011846356348	0.10564308221140074	0.28511552928533046	0.26499134358113424	0.22520745729914785	0.397037037037037	0.4074050100330118	0.24978486604325625	0.08278962662426669	0.1987093045655943	0.12740384615384615	0.5474913221836541	0.18499534016775396	0.12187115305703734	0.11071544189057947	0.23428096293949952	0.43772369362920543	0.26125340599455044	0.3481054149731218	0.17654630881122482	0.21338042800747975	0.24178084850366804	0.495060176037363	0.15818620462770042	0.2730804198694107	0.31956364803080134	0.3213933513599491	0.07931377424167081	0.24546442889175782	0.22940074906367042	0.17331768388106417	0.21664876476906553	0.19426594167078595	0.2821576763485477	0.2902248690830681	0.08335085137691822	0.21905071823718097	0.23280357586292524	0.19826835391157333	0.42687432953236126	0.4223417749201767	0.3393769366049745	0.3747819586344381	0.33510118632240055	0.09768928817125977	0.6460656002585232	0.1657111309296301	0.4408377472180378	0.09428438661710037	0.5327974097024507	0.4688966247918874	0.5258720449661101	0.6119982008321151	0.19578905942542307	0.16602787456445994	0.26254895781749427	0.2070166274919474	0.23076923076923078
cg00000321	0.5677729921459336	0.5968865826538177	0.7317997977755308	0.7380323054331865	0.8178431737753772	0.6259054111631871	0.5765733642360492	0.6030389363722697	0.5563273935366959	0.5713515940727436	0.6294786890813381	0.5111821086261981	0.6075178681725933	0.580703699969755	0.7992482865354853	0.7342612222324638	0.7129711209006363	0.7394275527384372	0.5290033025658396	0.7260975297580955	0.5916014820913956	0.5802232854864434	0.6785869407847112	0.6056603773584905	0.7079530638852672	0.7543288907545388	0.6884523809523809	0.604293927416457	0.6332046332046332	0.563265306122449	0.7128667481662592	0.7769508082335155	0.7624637298865735	0.6004663816556549	0.5860123483074303	0.7201148556747771	0.7728554168344745	0.7112793338380015	0.5294872823557731	0.5713443396226415	0.4608310626702997	0.5950321987120515	0.7028945931185144	0.6512751465230476	0.7241414450219097	0.4814687714481812	0.5973921225971233	0.7115584866365845	0.24494505494505495	0.4749711205236812	0.43704582530031144	0.7591375533264153	0.45634530250860794	0.37730478901126097	0.5634631549453628	0.6670980265286315	0.4947617438323758	0.4117478510028653	0.40039022386527007	0.45189469956321565	0.6938741721854305	0.7612109438238627	0.7653535179769482	0.7035573122529645	0.8372849837284984
cg00000363	0.06153363978269954	0.06528059685117121	0.060254580061860574	0.06164295783672946	0.09328813559322034	0.07457627118644068	0.07635072292212734	0.11319296890090787	0.07174920891897858	0.06021931726658819	0.09090909090909091	0.06426284494587589	0.052122740647330815	0.0577057426295934	0.08231147661355459	0.06653919694072657	0.06221288883055519	0.053153343176545034	0.28660035108250437	0.06721837527444688	0.08967036553524804	0.06395163856188354	0.08541651996338286	0.08481797056545314	0.0725231021172067	0.08117465224111282	0.08207434474035556	0.07362810896170549	0.09990056347364933	0.09425806451612903	0.060656441059744715	0.0651640672004443	0.08437804110137959	0.05486680327868852	0.07762418350296217	0.12322721624748276	0.07848837209302326	0.06463878326996197	0.08644926299015424	0.10481677068330933	0.1011112467944804	0.07304480846452929	0.06878118317890235	0.06660448784769847	0.06440582959641256	0.10934886314354748	0.06521739130434782	0.07795389769488474	0.10147740077626143	0.11902820805478559	0.07144425737500915	0.06750492525205702	0.18074127906976745	0.10778499482255484	0.10881217220909457	0.05565875472996216	0.15354056314468917	0.19979213792260195	0.08437900128040973	0.08270856595948317	0.060771358328211435	0.14051761953501973	0.11319032405294387	0.06549022590705104	0.047152047701239604
cg00000622	0.026453198187821547	0.021745969327565867	0.039826577939100626	0.033265385783059376	0.0420572804678765	0.0326930415977611	0.021882795745984507	0.09969399259139958	0.02328310744302264	0.02323364110798876	0.023470905372745862	0.021503730629424143	0.021222100256128796	0.02789112132637777	0.027666175049585517	0.02441747572815534	0.03475632791839819	0.013470487386725447	0.022862158321491265	0.032429679098986926	0.020746684934187992	0.025449758666081616	0.022213003469603258	0.027324213003824656	0.02498545101842871	0.03397438718479074	0.02429776780946278	0.02270799021809652	0.029424646625522598	0.021835662199046726	0.02168878596241204	0.03306756189676878	0.022509256142712892	0.0373090481786134	0.024756756756756756	0.027960202917928348	0.027319962009050784	0.029460456016254046	0.037437250063813494	0.0296220633299285	0.048194241093216204	0.035211267605633804	0.03754521641511788	0.05073120737908471	0.02187068185066946	0.03035002215330084	0.024680332859752383	0.039930478185302376	0.022417903560716757	0.027630268835048124	0.02236557114605895	0.038575880224936424	0.031656686626746505	0.033231683477988896	0.01971564795326661	0.020271165481605794	0.021433793819986918	0.020687369816322666	0.0290519877675841	0.023654405131803148	0.026188797917909235	0.021439509954058193	0.03414326591978272	0.02624814631735047	0.017570778063749754
cg00000658	0.6709103768818834	0.689289698772778	0.7146776406035665	0.7033700583279326	0.6720009276975706	0.7223549080487223	0.7147278968990939	0.6426970954356847	0.7382458752015879	0.7199660793366626	0.7411754002911208	0.6865115571776156	0.7409819121447029	0.7013985132921758	0.7297709923664122	0.7542138074347726	0.7016005709042716	0.7294067434912506	0.7221038357225882	0.7336676785007259	0.7033718462626739	0.6864063764867053	0.6922641509433962	0.7231965174129353	0.7477255385337794	0.7045615813482007	0.7369173918226248	0.7103234522768815	0.7528089887640449	0.7828098848085064	0.7054963084495488	0.7144892144892145	0.7026716856408373	0.6863659927423535	0.714187643020595	0.7107542324933629	0.6834290239556523	0.7042894917246108	0.707346275549474	0.6648012850406757	0.6857700496806246	0.6902115100836202	0.6781311824684219	0.6934756820877818	0.7326584608305533	0.7173090686023924	0.7510082677959266	0.6681691936438556	0.7083569941321219	0.7408433889054705	0.679666101473849	0.7424043605531443	0.7116602230066678	0.708353929807217	0.7148830811554333	0.6830134596211366	0.6436885946176848	0.7426858513189448	0.6522326816316679	0.7132061673471876	0.6780646662014422	0.7049256776450015	0.704672452740459	0.7284991568296796	0.6992156580556955
