probe	type	RB_E_001	RB_E_002	RB_E_003	RB_E_004	RB_E_005	RB_E_006	RB_E_007	RB_E_008	RB_E_009	RB_E_011	RB_E_012	RB_E_013	RB_E_014	RB_E_015	RB_E_016	RB_E_017	RB_E_019	RB_E_020	RB_E_021	RB_E_022	RB_E_023	RB_E_025	RB_E_026	RB_E_027	RB_E_028	RB_E_029	RB_E_030	RB_E_030_IC	RB_E_032	RB_E_033	RB_E_034	RB_E_035	RB_E_036	RB_E_037	RB_E_040	RB_E_042	RB_E_044	RB_E_045	RB_E_046_IC	RB_E_048_IC	RB_E_049_IC	RB_E_050	RB_E_051	RB_E_052	RB_E_053	RB_E_054	RB_E_055	RB_E_056	RB_E_057	RB_E_058	RB_E_059	RB_E_060	RB_E_061	RB_E_063	RB_E_064	RB_E_065	RB_E_066	RB_E_067	RB_E_069_FR	RB_E_076	RB_E_077	RB_E_078	RB_E_079	RB_E_080	RB_E_081
cg00035864	II	14541.0	14111.0	13819.0	9329.0	349.0	9367.0	8286.0	15263.0	7470.0	86.0	282.0	12430.0	473.0	114.0	207.0	8853.0	8411.0	204.0	192.0	173.0	6363.0	12849.0	409.0	574.0	11325.0	282.0	246.0	136.0	11217.0	6803.0	8960.0	232.0	13270.0	18930.0	188.0	16781.0	6260.0	13860.0	10969.0	5334.0	7459.0	322.0	286.0	8409.0	6880.0	250.0	291.0	16380.0	339.0	15470.0	12756.0	391.0	11601.0	8230.0	15197.0	12684.0	13170.0	13358.0	475.0	238.0	9338.0	455.0	160.0	8039.0	114.0
cg00061679	II	8338.0	10606.0	9571.0	7875.0	270.0	4400.0	7086.0	6235.0	7694.0	121.0	289.0	10179.0	165.0	62.0	182.0	8199.0	9556.0	42.0	206.0	89.0	9922.0	10460.0	378.0	259.0	11079.0	373.0	340.0	359.0	9569.0	9849.0	12157.0	411.0	14399.0	14861.0	172.0	18067.0	7148.0	24144.0	13091.0	2097.0	4764.0	279.0	492.0	13220.0	9715.0	226.0	398.0	17645.0	407.0	17333.0	17264.0	445.0	7385.0	4013.0	11792.0	9309.0	6702.0	10934.0	378.0	184.0	2949.0	186.0	197.0	4863.0	157.0
cg00063477	II	585.0	1086.0	341.0	571.0	353.0	544.0	528.0	1106.0	483.0	266.0	201.0	484.0	273.0	196.0	65.0	350.0	485.0	218.0	161.0	204.0	442.0	488.0	210.0	487.0	524.0	356.0	285.0	60.0	513.0	307.0	491.0	335.0	572.0	560.0	413.0	628.0	224.0	538.0	722.0	637.0	579.0	286.0	481.0	810.0	302.0	198.0	637.0	854.0	344.0	438.0	639.0	588.0	554.0	713.0	471.0	398.0	654.0	472.0	459.0	320.0	361.0	349.0	368.0	492.0	253.0
cg00005617	II	4760.0	2256.0	4470.0	1627.0	17210.0	3631.0	4450.0	1308.0	2564.0	12116.0	9441.0	2337.0	7552.0	7771.0	13920.0	2786.0	2290.0	13780.0	10234.0	12090.0	2117.0	2529.0	7861.0	14446.0	5554.0	15627.0	10643.0	11181.0	3421.0	2925.0	2713.0	8023.0	3841.0	4493.0	12522.0	4755.0	1879.0	2044.0	2412.0	1469.0	1954.0	7341.0	15566.0	3130.0	2297.0	12457.0	20343.0	3330.0	17672.0	3807.0	3307.0	19322.0	2566.0	3177.0	3526.0	3943.0	2824.0	4842.0	14028.0	16838.0	3106.0	17267.0	10640.0	1899.0	18323.0
cg00006815	II	18958.0	20859.0	20487.0	17295.0	14800.0	19474.0	20755.0	19229.0	18928.0	10246.0	13395.0	19117.0	11951.0	10239.0	10621.0	8162.0	8201.0	11245.0	12725.0	6020.0	5860.0	18415.0	21332.0	23491.0	16770.0	16636.0	9686.0	13627.0	15826.0	8548.0	18876.0	20617.0	20376.0	19601.0	9583.0	20060.0	7214.0	15044.0	11619.0	10135.0	8891.0	8594.0	13313.0	10763.0	8124.0	12703.0	21146.0	20215.0	18731.0	17332.0	14297.0	19778.0	18115.0	16416.0	18155.0	17265.0	20195.0	16685.0	21252.0	19356.0	15157.0	18970.0	19105.0	11628.0	12563.0
cg00008932	II	3210.0	2584.0	3508.0	3143.0	13726.0	3453.0	4848.0	1265.0	1349.0	10322.0	9893.0	2419.0	5910.0	8233.0	6486.0	1718.0	1821.0	6757.0	5353.0	7215.0	1432.0	2950.0	14497.0	11191.0	3452.0	10407.0	7823.0	7976.0	2140.0	1567.0	2883.0	4636.0	4115.0	3388.0	5791.0	3952.0	1537.0	2108.0	1640.0	1101.0	1265.0	8529.0	10323.0	1956.0	1403.0	7892.0	15450.0	4578.0	17907.0	5582.0	3306.0	13621.0	2642.0	2644.0	2974.0	1988.0	2596.0	2776.0	10313.0	11961.0	1193.0	9959.0	14408.0	2407.0	7480.0
cg00008945	I	3696.0	5243.0	4483.0	3374.0	7101.0	5984.0	4590.0	6800.0	4773.0	7786.0	6755.0	4381.0	6146.0	4589.0	5876.0	6201.0	6676.0	6098.0	6379.0	4268.0	4761.0	4186.0	4430.0	5059.0	4670.0	3788.0	4960.0	7944.0	4742.0	6723.0	4894.0	4270.0	5213.0	5435.0	5098.0	7571.0	5989.0	4772.0	8841.0	5320.0	5015.0	4909.0	6058.0	6852.0	5884.0	6015.0	4668.0	6161.0	7318.0	5812.0	4500.0	4305.0	5232.0	2895.0	4782.0	3803.0	4042.0	4329.0	4259.0	4454.0	3039.0	3491.0	2469.0	3603.0	2745.0
cg00011200	I	20698.0	21164.0	18753.0	17541.0	16997.0	20738.0	18731.0	11871.0	18766.0	10612.0	12120.0	20649.0	11605.0	11684.0	15015.0	12846.0	13438.0	11424.0	11208.0	9274.0	10780.0	21067.0	18616.0	20023.0	20072.0	15763.0	10943.0	11435.0	22993.0	13828.0	21250.0	19581.0	20333.0	22495.0	14007.0	19959.0	12687.0	19025.0	15159.0	8640.0	4731.0	12947.0	12420.0	15928.0	13491.0	11880.0	18353.0	16691.0	19201.0	20563.0	17386.0	15324.0	19796.0	20146.0	17960.0	18420.0	23380.0	16033.0	20014.0	14521.0	14567.0	14328.0	14032.0	16046.0	13334.0
cg00011891	I	36753.0	36356.0	34450.0	31682.0	27565.0	33098.0	31653.0	23731.0	31668.0	22945.0	25038.0	36845.0	19919.0	16532.0	17288.0	22373.0	23315.0	18178.0	23030.0	15820.0	19683.0	35444.0	27806.0	30419.0	32466.0	26036.0	16984.0	21464.0	33949.0	30042.0	35034.0	35651.0	33465.0	41163.0	18271.0	36858.0	22856.0	31843.0	24238.0	22048.0	18984.0	18531.0	24074.0	28589.0	23684.0	19513.0	33185.0	33133.0	30880.0	35189.0	29123.0	30993.0	32139.0	38401.0	31662.0	34215.0	35797.0	32147.0	32017.0	28460.0	31257.0	28492.0	33618.0	30198.0	26230.0
cg00012395	II	574.0	451.0	632.0	187.0	2119.0	455.0	496.0	285.0	659.0	2738.0	4132.0	790.0	571.0	679.0	641.0	447.0	400.0	930.0	1268.0	555.0	381.0	528.0	1072.0	1257.0	656.0	6428.0	2027.0	2656.0	602.0	398.0	465.0	1766.0	623.0	735.0	780.0	572.0	549.0	553.0	510.0	397.0	494.0	754.0	1336.0	724.0	229.0	859.0	2521.0	844.0	6056.0	686.0	465.0	1302.0	474.0	558.0	511.0	599.0	557.0	503.0	1253.0	2757.0	511.0	2020.0	367.0	431.0	519.0
