probe	RB_E_001	RB_E_002	RB_E_003	RB_E_004	RB_E_005	RB_E_006	RB_E_007	RB_E_008	RB_E_009	RB_E_011	RB_E_012	RB_E_013	RB_E_014	RB_E_015	RB_E_016	RB_E_017	RB_E_019	RB_E_020	RB_E_021	RB_E_022	RB_E_023	RB_E_025	RB_E_026	RB_E_027	RB_E_028	RB_E_029	RB_E_030	RB_E_030_IC	RB_E_032	RB_E_033	RB_E_034	RB_E_035	RB_E_036	RB_E_037	RB_E_040	RB_E_042	RB_E_044	RB_E_045	RB_E_046_IC	RB_E_048_IC	RB_E_049_IC	RB_E_050	RB_E_051	RB_E_052	RB_E_053	RB_E_054	RB_E_055	RB_E_056	RB_E_057	RB_E_058	RB_E_059	RB_E_060	RB_E_061	RB_E_063	RB_E_064	RB_E_065	RB_E_066	RB_E_067	RB_E_069_FR	RB_E_076	RB_E_077	RB_E_078	RB_E_079	RB_E_080	RB_E_081
cg00000029	5271	3861	5313	3618	2092	2878	3156	3015	3246	6818	4715	2039	2011	2172	2777	3388	3055	5164	1514	2630	3560	3433	2553	1806	3686	4247	4809	5755	2405	3004	3320	5968	5938	5030	2565	8151	3337	5443	7008	1204	1484	3479	5376	6171	3307	4303	4152	4244	3545	4691	2933	4603	2763	1044	2545	4460	2001	1622	1403	3387	2733	2093	1432	3167	1538
cg00000109	628	567	320	374	478	482	596	994	547	630	687	583	455	571	724	640	638	640	548	611	607	715	525	554	480	643	577	784	514	846	644	739	618	1089	699	876	560	734	820	390	1023	974	1247	1341	534	652	741	969	571	705	343	712	567	273	821	390	1086	654	673	216	327	369	351	402	302
cg00000165	2570	1004	2093	1261	510	681	1409	2875	2467	906	1333	1245	1400	583	1017	4724	2917	1480	3477	544	2570	4629	2357	2213	1219	1044	1315	1257	2142	4565	1224	890	1391	6648	1188	1466	1178	1158	3861	708	1338	3221	1217	1716	685	1469	5994	8808	4781	5313	5083	875	5566	1196	6377	3090	7678	6785	7781	455	1011	1173	642	590	587
cg00000236	1248	979	881	579	526	850	1082	3215	582	853	912	1166	743	706	773	1056	1004	1010	925	945	887	869	1399	1039	1067	1322	624	1671	911	727	1027	997	1261	1926	820	1744	1004	916	1688	1544	2251	1378	1099	1231	907	935	1226	2287	1550	1168	994	1443	1080	616	1148	1180	1374	1249	1774	495	391	237	497	440	384
cg00000289	396	402	434	414	936	527	294	498	535	895	1162	289	896	899	1282	1326	1123	886	1043	755	873	441	783	599	171	552	1191	1288	546	968	402	436	413	554	1124	527	1226	641	1421	1060	931	1353	1479	1373	1029	1018	538	1533	442	566	297	590	356	411	318	157	317	609	438	206	218	259	198	323	298
cg00000292	22548	18264	19143	14759	6581	11372	16608	14670	15561	13254	13960	20771	11346	9105	13027	16679	16588	16285	5686	12193	12790	21926	19289	12518	20284	14866	12744	11308	19484	8383	15303	17540	16916	21282	14762	22159	13941	16854	14536	4840	3237	13775	17392	16749	12308	15599	14375	13157	15727	17513	14242	22247	4331	19595	11457	19441	8319	10477	8554	6851	20385	19098	16331	18168	15950
cg00000321	3362	2669	2072	1734	928	1706	2325	2040	2888	4723	4314	2551	4398	4109	1766	2833	2882	2581	5512	2090	3918	2582	2170	2667	1742	2291	2567	4355	2230	5300	1829	1868	1751	3034	3839	1802	2206	1857	5814	3585	4699	4352	3214	4353	2657	5994	2945	2443	6821	5404	3746	2039	4371	4982	3066	2008	4435	6109	5789	4593	1799	1425	1314	1225	650
cg00000363	17916	16989	15749	14594	13324	10870	10874	9132	12564	15119	16710	12225	15735	13438	12448	14596	14240	13417	12142	10996	11107	14660	12938	14128	15808	14812	13013	14029	13528	13989	17465	20149	15945	18399	12094	20413	11996	17170	16002	5544	7311	14493	15628	16963	16641	14326	13796	18390	14303	16159	12635	16043	11223	9428	15413	13676	12095	13039	14252	11451	12175	11706	11608	12236	12095
cg00000622	25307	24827	18996	22240	22226	22762	22299	16720	25749	19415	20961	25523	24025	18771	19069	20047	20390	20090	23329	17046	19963	26602	25877	26399	25081	21901	18221	19532	24326	23961	21917	22992	23183	26166	17992	24668	17360	25745	22576	18000	15552	21459	23098	24032	20478	21835	23977	21493	25373	23388	20713	26792	24207	24678	22772	22134	25380	20637	24715	19432	17910	18481	19865	19649	19799
cg00000658	6464	6634	5982	4527	5607	4600	5019	8561	4170	2922	2795	4073	2456	2320	2428	2079	2877	2486	2819	1968	2466	4986	4843	4401	4248	5779	2157	3595	4064	2156	5335	5562	6427	7210	2448	6596	3148	5989	3372	6419	5263	3099	4180	3826	2274	2715	4889	7238	6113	6028	4862	5054	5096	5850	5132	5037	6623	4242	7154	4656	5486	5012	4918	3653	4130
